experiment,baseline,label,eval_lang,ratio,t_lang,bilingual_ppl,token_efficiency
bilingual_existing,csv_batch32,eng-nld_90-10_50M,eng,0.9,45000000.0,60.89,0.9846679091682795
bilingual_existing,csv_batch32,eng-nld_90-10_50M,nld,0.1,5000000.0,147.69,2.250049584045563
bilingual_existing,csv_batch32,eng-nld_70-30_50M,eng,0.7,35000000.0,65.29,1.1322468563333252
bilingual_existing,csv_batch32,eng-nld_70-30_50M,nld,0.3,15000000.0,95.36,1.4273134713939284
bilingual_existing,csv_batch32,eng-nld_50-50_50M,eng,0.5,25000000.0,72.88,1.329326008278407
bilingual_existing,csv_batch32,eng-nld_50-50_50M,nld,0.5,25000000.0,73.62,1.2530147167222456
bilingual_existing,csv_batch32,eng-ind_90-10_50M,eng,0.9,45000000.0,60.67,0.9903884669984844
bilingual_existing,csv_batch32,eng-ind_90-10_50M,ind,0.1,5000000.0,124.8,2.3669010261854044
bilingual_existing,csv_batch32,eng-ind_70-30_50M,eng,0.7,35000000.0,65.53,1.1256176452719209
bilingual_existing,csv_batch32,eng-ind_70-30_50M,ind,0.3,15000000.0,90.35,1.4640756453817079
bilingual_existing,csv_batch32,eng-ind_50-50_50M,eng,0.5,25000000.0,72.86,1.329910039076936
bilingual_existing,csv_batch32,eng-ind_50-50_50M,ind,0.5,25000000.0,77.62,1.174762420985488
bilingual_new,matched_batch128,eng95-nld5,eng,0.95,47500000.0,83.05,0.9527651077579873
bilingual_new,matched_batch128,eng95-nld5,dut,0.05,2500000.0,339.11,3.2886769591003175
bilingual_new,matched_batch128,eng99-nld1,eng,0.99,49500000.0,81.2,0.9419247348215849
bilingual_new,matched_batch128,eng99-nld1,dut,0.01,500000.0,642.16,6.85160288859905
bilingual_new,matched_batch128,eng95-ind5,eng,0.95,47500000.0,82.99,0.9536764103138996
bilingual_new,matched_batch128,eng95-ind5,ind,0.05,2500000.0,236.73,3.7071879999027417
bilingual_new,matched_batch128,eng99-ind1,eng,0.99,49500000.0,81.13,0.9429999461257459
bilingual_new,matched_batch128,eng99-ind1,ind,0.01,500000.0,442.02,7.0570269369277305
trilingual,matched_batch128,tri-eng33-dut33-ind33,eng,0.3333333333333333,16666666.666666666,128.51,1.5241500169516577
trilingual,matched_batch128,tri-eng33-dut33-ind33,dut,0.3333333333333333,16666666.666666666,162.12,1.356885569233649
trilingual,matched_batch128,tri-eng33-dut33-ind33,ind,0.3333333333333333,16666666.666666666,129.05,1.4211207493961862
trilingual,matched_batch128,tri-eng60-dut20-ind20,eng,0.6,30000000.0,102.63,1.1401059052620601
trilingual,matched_batch128,tri-eng60-dut20-ind20,dut,0.2,10000000.0,197.97,1.7196293189937364
trilingual,matched_batch128,tri-eng60-dut20-ind20,ind,0.2,10000000.0,153.41,1.8127770368889249
trilingual,matched_batch128,tri-eng80-dut10-ind10,eng,0.8,40000000.0,90.0,1.0173005086125535
trilingual,matched_batch128,tri-eng80-dut10-ind10,dut,0.1,5000000.0,257.01,2.404662451487221
trilingual,matched_batch128,tri-eng80-dut10-ind10,ind,0.1,5000000.0,190.9,2.5854184679488075
trilingual,matched_batch128,tri-eng50-dut30-ind20,eng,0.5,25000000.0,109.74,1.252116655412793
trilingual,matched_batch128,tri-eng50-dut30-ind20,dut,0.3,15000000.0,167.82,1.4378878866464975
trilingual,matched_batch128,tri-eng50-dut30-ind20,ind,0.2,10000000.0,153.11,1.8182730027441603
seed_validation,csv_batch32,val-eng90-dut10-s0,eng,0.9,45000000.0,71.96,0.75368300089338
seed_validation,csv_batch32,val-eng90-dut10-s0,dut,0.1,5000000.0,111.94,3.382501599986931
seed_validation,csv_batch32,val-eng90-ind10-s0,eng,0.9,45000000.0,71.77,0.7568787442662206
seed_validation,csv_batch32,val-eng90-ind10-s0,ind,0.1,5000000.0,133.39,2.083769141983908
seed_validation,csv_batch32,val-eng90-dut10-s1,eng,0.9,45000000.0,68.19,0.8214681559002032
seed_validation,csv_batch32,val-eng90-dut10-s1,dut,0.1,5000000.0,121.25,3.0074820466197982
seed_validation,csv_batch32,val-eng90-ind10-s1,eng,0.9,45000000.0,68.18,0.8216609885156132
seed_validation,csv_batch32,val-eng90-ind10-s1,ind,0.1,5000000.0,129.23,2.2140414983514076
seed_validation,csv_batch32,val-eng90-dut10-s42,eng,0.9,45000000.0,61.96,0.9575954797745081
seed_validation,csv_batch32,val-eng90-dut10-s42,dut,0.1,5000000.0,159.27,2.013593348266816
