config,lang,ratio,tokens,date,person,time_s,cost,eval_lang,perplexity,epochs,notes
tiny,eng,mono,1M,26 may,Yao,73.28,,eng,1903.65,3,visualize the structure; retraining the tiny/small/large in mono-eng
tiny,eng,mono,3M,26 may,Yao,203.28,,eng,715.42,3,
tiny,eng,mono,10M,26 may,Yao,584.34,,eng,312.64,3,
tiny,eng,mono,30M,26 may,Yao,1648.02,,eng,149.75,3,
tiny,eng,mono,50M,26 may,Yao,2779.69,,eng,111.57,3,
tiny,nld,mono,1M,22 may,judith,35.436,,nld,1859.27,3,
tiny,nld,mono,3M,22 may,judith,101.400,,nld,816.13,3,
tiny,nld,mono,10M,22 may,judith,333.955,,nld,387.69,3,
tiny,nld,mono,30M,22 may,judith,1002.542,,nld,177.10,3,
tiny,nld,mono,50M,22 may,judith,1644.271,,nld,128.56,3,
tiny,ind,mono,1M,22 may,Ada,34.815,,ind,1381.99,3,
tiny,ind,mono,3M,22 may,Ada,159.221,,ind,401.16,3,
tiny,ind,mono,10M,22 may,Ada,319.259,,ind,272.93,3,
tiny,ind,mono,30M,22 may,Ada,962.409,all above $1.75,ind,143.79,3,
tiny,ind,mono,50M,23 may,Ada,1184.354,,ind,111.11,3,with GPU A10G ($1.12 / hour)
tiny,eng-nld,90-10,10M,24 may,judith,324,,eng,330.43,3,
tiny,eng-nld,90-10,10M,24 may,judith,324,,nld,875.20,3,
tiny,eng-nld,70-30,10M,24 may,judith,364,,eng,361.58,3,
tiny,eng-nld,70-30,10M,24 may,judith,364,,nld,620.95,3,
tiny,eng-nld,50-50,10M,24 may,judith,363,,eng,415.57,3,
tiny,eng-nld,50-50,10M,24 may,judith,363,,nld,517.74,3,
tiny,eng-nld,90-10,50M,1 june,judith,1701,3.30$ together,eng,115.24,3,A10G
tiny,eng-nld,90-10,50M,1 june,judith,1701,3.30$ together,nld,328.35,3,A10G
tiny,eng-nld,70-30,50M,1 june,judith,1700,3.30$ together,eng,126.38,3,L4
tiny,eng-nld,70-30,50M,1 june,judith,1700,3.30$ together,nld,217.93,3,L4
tiny,eng-nld,50-50,50M,1 june,judith,1479,3.30$ together,eng,142.23,3,L4
tiny,eng-nld,50-50,50M,1 june,judith,1479,3.30$ together,nld,171.38,3,L4
tiny,eng-ind,90-10,50M,1 june,Ada,986.7403,,eng,115.06,3,GPU A100-40GB
